RegionID,RegionName,SizeRank,tier,date,income,zri,PercentIncomeSpentOnRent
394463,"Chicago, IL",3,Bottom Tier,2015-12-31,21582.75,1118,0.6216075337943496
394463,"Chicago, IL",3,Upper Tier,2015-12-31,152438,1949,0.15342631102481008
394463,"Chicago, IL",3,Bottom Tier,2016-03-31,21679.875,1142,0.6321069655613789
394463,"Chicago, IL",3,Upper Tier,2016-03-31,154011,1940,0.1511580341663907
394463,"Chicago, IL",3,Bottom Tier,2016-06-30,21777,1167,0.6430637828902053
394463,"Chicago, IL",3,Upper Tier,2016-06-30,155584,1908,0.14716166186754423
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2010-12-31,20345,799,0.4712705824526911
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2010-12-31,121300,1280,0.12662819455894478
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2011-03-31,20467.5,781,0.457896665445218
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2011-03-31,122100,1289,0.1266830466830467
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2011-06-30,20590,762,0.4440990772219524
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2011-06-30,122900,1299,0.12683482506102522
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2011-09-30,20692.5,744,0.4314606741573034
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2011-09-30,124175,1309,0.12649889269176565
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2011-12-31,20795,727,0.41952392402019717
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2011-12-31,125450,1323,0.12655241131925068
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2012-03-31,20897.5,715,0.4105754276827372
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2012-03-31,126725,1342,0.1270783191951075
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2012-06-30,21e3,713,0.4074285714285714
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2012-06-30,128e3,1361,0.12759375
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2012-09-30,21e3,720,0.4114285714285714
394514,"Dallas-Fort Worth, TX",4,Upper Tier,2012-09-30,129e3,1379,0.12827906976744186
394514,"Dallas-Fort Worth, TX",4,Bottom Tier,2012-12-31,21e3,727,0.4154285714285714
